Crime_ID,FIR_Date,FIR_Time,State,District,Police_Station,Crime_Category,Crime_Subcategory,Severity,Victim_Age,Victim_Gender,Suspect_Age,Suspect_Gender,Weapon_Used,Arrest_Status,Case_Status,Latitude,Longitude,Estimated_Loss_INR,Crime_Description
CR202200001,2025-04-14,09:37,Maharashtra,Mumbai,Mumbai Police Station,Cyber Crime,Phishing,Low,38,Female,53,Female,Stick,Not Arrested,Under Investigation,17.4097,95.778,359703,Phishing reported in Mumbai.
CR202200002,2024-07-14,04:00,Haryana,Gurugram,Gurugram Police Station,Sexual Harassment,Harassment,Low,22,Male,38,Male,,Arrested,Under Investigation,27.7821,76.6542,8728,Harassment reported in Gurugram.
CR202200003,2024-01-25,16:33,West Bengal,Siliguri,Siliguri Police Station,Murder,Homicide,High,57,Male,25,Male,Stick,Arrested,Under Investigation,34.8843,69.2794,350969,Homicide reported in Siliguri.
CR202200004,2022-02-17,00:03,Uttar Pradesh,Kanpur,Kanpur Police Station,Burglary,House Break-in,Low,49,Male,48,Female,Knife,Arrested,Closed,17.1496,69.6682,105716,House Break-in reported in Kanpur.
CR202200005,2023-01-28,02:16,Maharashtra,Mumbai,Mumbai Police Station,Vandalism,Property Damage,Low,46,Female,65,Female,Stick,Arrested,Under Investigation,10.7369,68.0618,92369,Property Damage reported in Mumbai.
CR202200006,2025-01-10,08:56,Uttar Pradesh,Lucknow,Lucknow Police Station,Theft,Vehicle Theft,Medium,70,Female,43,Female,Knife,Arrested,Chargesheet Filed,17.7753,91.9905,291520,Vehicle Theft reported in Lucknow.
CR202200007,2024-12-10,01:37,Punjab,Ludhiana,Ludhiana Police Station,Drug Offence,Drug Possession,Low,31,Female,56,Male,Firearm,Arrested,Closed,17.8815,86.6442,170051,Drug Possession reported in Ludhiana.
CR202200008,2022-12-11,22:12,Odisha,Cuttack,Cuttack Police Station,Burglary,House Break-in,High,57,Female,41,Female,Firearm,Not Arrested,Chargesheet Filed,29.8148,86.3137,308930,House Break-in reported in Cuttack.
CR202200009,2022-11-01,16:04,Haryana,Gurugram,Gurugram Police Station,Vandalism,Property Damage,Low,21,Female,26,Male,Firearm,Arrested,Closed,24.0452,70.4078,343949,Property Damage reported in Gurugram.
CR202200010,2025-06-16,19:57,Punjab,Amritsar,Amritsar Police Station,Kidnapping,Abduction,Low,51,Female,59,Female,Firearm,Arrested,Chargesheet Filed,28.9664,91.5587,305875,Abduction reported in Amritsar.
CR202200011,2022-01-30,11:47,Uttar Pradesh,Lucknow,Lucknow Police Station,Sexual Harassment,Harassment,High,64,Female,57,Male,,Arrested,Closed,11.1557,94.1799,466612,Harassment reported in Lucknow.
CR202200012,2022-03-14,03:44,Tamil Nadu,Madurai,Madurai Police Station,Vandalism,Property Damage,Low,40,Male,32,Female,Stick,Not Arrested,Under Investigation,8.3006,83.8171,90255,Property Damage reported in Madurai.
CR202200013,2025-06-05,04:29,Bihar,Gaya,Gaya Police Station,Missing Person,Missing Adult,High,29,Female,65,Female,Firearm,Not Arrested,Under Investigation,9.1848,71.8086,198436,Missing Adult reported in Gaya.
CR202200014,2022-11-18,11:31,Rajasthan,Jodhpur,Jodhpur Police Station,Missing Person,Missing Adult,Low,20,Male,18,Female,Stick,Not Arrested,Under Investigation,33.1414,80.6514,7634,Missing Adult reported in Jodhpur.
CR202200015,2024-01-03,16:37,Delhi,New Delhi,New Delhi Police Station,Fraud,Online Fraud,High,44,Male,60,Male,Firearm,Arrested,Under Investigation,17.0679,88.5096,201424,Online Fraud reported in New Delhi.
CR202200016,2022-02-26,21:30,Rajasthan,Jaipur,Jaipur Police Station,Murder,Homicide,Low,53,Male,33,Female,Stick,Arrested,Closed,26.0873,79.6151,176962,Homicide reported in Jaipur.
CR202200017,2022-11-11,10:47,Punjab,Amritsar,Amritsar Police Station,Sexual Harassment,Harassment,Medium,57,Male,35,Female,Stick,Not Arrested,Under Investigation,17.3555,72.3572,270929,Harassment reported in Amritsar.
CR202200018,2023-05-02,16:52,Rajasthan,Jodhpur,Jodhpur Police Station,Vandalism,Property Damage,Medium,68,Female,30,Male,Firearm,Not Arrested,Chargesheet Filed,22.8634,91.4817,414529,Property Damage reported in Jodhpur.
CR202200019,2025-02-13,21:46,Tamil Nadu,Coimbatore,Coimbatore Police Station,Assault,Physical Assault,Low,36,Female,18,Female,Firearm,Not Arrested,Chargesheet Filed,24.9493,71.4022,357721,Physical Assault reported in Coimbatore.
CR202200020,2022-01-15,07:56,Delhi,New Delhi,New Delhi Police Station,Assault,Physical Assault,Low,58,Male,63,Female,Knife,Not Arrested,Chargesheet Filed,16.37,89.0393,256967,Physical Assault reported in New Delhi.
CR202200021,2022-06-05,20:12,Telangana,Warangal,Warangal Police Station,Assault,Physical Assault,Low,69,Male,41,Male,Knife,Arrested,Chargesheet Filed,14.9172,84.1539,367943,Physical Assault reported in Warangal.
CR202200022,2022-12-23,10:06,Punjab,Amritsar,Amritsar Police Station,Fraud,Online Fraud,Medium,48,Male,45,Male,Stick,Not Arrested,Closed,32.218,68.9081,258230,Online Fraud reported in Amritsar.
CR202200023,2023-07-26,09:25,Kerala,Kochi,Kochi Police Station,Kidnapping,Abduction,Low,22,Female,24,Female,Firearm,Not Arrested,Under Investigation,19.1483,71.901,176374,Abduction reported in Kochi.
CR202200024,2025-03-28,22:12,Delhi,New Delhi,New Delhi Police Station,Theft,Vehicle Theft,Low,41,Male,29,Male,Firearm,Arrested,Closed,27.9505,78.2671,9757,Vehicle Theft reported in New Delhi.
CR202200025,2022-02-01,13:42,Punjab,Ludhiana,Ludhiana Police Station,Burglary,House Break-in,High,63,Female,31,Male,Firearm,Not Arrested,Closed,25.3544,71.3135,290852,House Break-in reported in Ludhiana.
CR202200026,2024-11-25,09:06,Kerala,Kochi,Kochi Police Station,Assault,Physical Assault,Medium,41,Male,62,Female,,Not Arrested,Closed,32.5207,87.3539,80931,Physical Assault reported in Kochi.
CR202200027,2025-07-10,20:31,Odisha,Bhubaneswar,Bhubaneswar Police Station,Theft,Vehicle Theft,Low,45,Male,18,Female,Firearm,Not Arrested,Chargesheet Filed,18.7637,82.1519,415302,Vehicle Theft reported in Bhubaneswar.
CR202200028,2025-01-04,13:06,Madhya Pradesh,Bhopal,Bhopal Police Station,Cyber Crime,Phishing,High,53,Female,20,Male,,Not Arrested,Chargesheet Filed,26.7064,92.2161,45437,Phishing reported in Bhopal.
CR202200029,2022-11-26,14:48,Maharashtra,Nagpur,Nagpur Police Station,Burglary,House Break-in,Low,35,Female,26,Female,Firearm,Not Arrested,Under Investigation,24.4443,73.8988,321453,House Break-in reported in Nagpur.
CR202200030,2025-01-29,03:14,Odisha,Bhubaneswar,Bhubaneswar Police Station,Drug Offence,Drug Possession,Medium,33,Male,53,Male,Knife,Arrested,Closed,20.9641,84.8567,465310,Drug Possession reported in Bhubaneswar.
CR202200031,2023-01-03,14:21,Karnataka,Mangaluru,Mangaluru Police Station,Assault,Physical Assault,Low,33,Male,55,Female,Stick,Arrested,Chargesheet Filed,22.9367,83.2756,136448,Physical Assault reported in Mangaluru.
CR202200032,2025-05-14,20:11,Punjab,Amritsar,Amritsar Police Station,Murder,Homicide,High,40,Female,39,Male,Knife,Not Arrested,Under Investigation,20.5229,91.5622,49065,Homicide reported in Amritsar.
CR202200033,2025-07-09,11:39,Bihar,Gaya,Gaya Police Station,Chain Snatching,Snatching,High,49,Male,22,Female,Firearm,Not Arrested,Chargesheet Filed,23.3884,75.5338,316520,Snatching reported in Gaya.
CR202200034,2022-01-15,10:55,West Bengal,Kolkata,Kolkata Police Station,Fraud,Online Fraud,High,34,Female,60,Female,,Arrested,Closed,17.1129,95.2134,359082,Online Fraud reported in Kolkata.
CR202200035,2025-10-20,13:11,Gujarat,Ahmedabad,Ahmedabad Police Station,Murder,Homicide,Medium,21,Female,36,Female,,Arrested,Closed,15.6719,91.711,457837,Homicide reported in Ahmedabad.
CR202200036,2022-10-29,23:59,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Assault,Physical Assault,Low,34,Male,18,Male,,Not Arrested,Under Investigation,10.7167,93.1668,153697,Physical Assault reported in Thiruvananthapuram.
CR202200037,2023-02-06,21:17,Madhya Pradesh,Indore,Indore Police Station,Assault,Physical Assault,Low,59,Male,28,Male,Stick,Not Arrested,Closed,14.9655,76.1233,53764,Physical Assault reported in Indore.
CR202200038,2023-01-12,09:13,West Bengal,Siliguri,Siliguri Police Station,Drug Offence,Drug Possession,Low,59,Male,58,Male,Firearm,Arrested,Closed,22.5421,75.0384,495150,Drug Possession reported in Siliguri.
CR202200039,2023-11-24,01:24,Gujarat,Surat,Surat Police Station,Cyber Crime,Phishing,Low,42,Male,62,Male,Stick,Arrested,Chargesheet Filed,33.5898,91.58,152429,Phishing reported in Surat.
CR202200040,2023-08-27,20:40,Madhya Pradesh,Indore,Indore Police Station,Missing Person,Missing Adult,High,31,Female,38,Male,,Arrested,Chargesheet Filed,15.2866,84.9317,391486,Missing Adult reported in Indore.
CR202200041,2024-02-03,15:42,Maharashtra,Pune,Pune Police Station,Theft,Vehicle Theft,High,63,Male,48,Female,Stick,Arrested,Under Investigation,8.3027,71.1669,224012,Vehicle Theft reported in Pune.
CR202200042,2024-06-29,04:59,Madhya Pradesh,Indore,Indore Police Station,Murder,Homicide,High,33,Female,47,Male,Firearm,Not Arrested,Closed,16.5198,78.7913,8391,Homicide reported in Indore.
CR202200043,2023-11-15,06:24,Uttar Pradesh,Kanpur,Kanpur Police Station,Assault,Physical Assault,High,19,Female,30,Male,Firearm,Arrested,Under Investigation,21.2639,80.7074,327576,Physical Assault reported in Kanpur.
CR202200044,2024-09-05,12:08,Bihar,Patna,Patna Police Station,Cyber Crime,Phishing,High,19,Female,63,Male,Knife,Arrested,Under Investigation,30.2763,76.1539,18910,Phishing reported in Patna.
CR202200045,2025-07-02,04:53,West Bengal,Siliguri,Siliguri Police Station,Theft,Vehicle Theft,Medium,52,Female,51,Female,Firearm,Arrested,Chargesheet Filed,18.5882,74.0958,83504,Vehicle Theft reported in Siliguri.
CR202200046,2025-04-24,22:44,Telangana,Hyderabad,Hyderabad Police Station,Sexual Harassment,Harassment,Low,22,Male,36,Female,Stick,Not Arrested,Chargesheet Filed,17.9983,82.93,325125,Harassment reported in Hyderabad.
CR202200047,2023-12-29,13:03,Gujarat,Ahmedabad,Ahmedabad Police Station,Cyber Crime,Phishing,High,64,Female,31,Male,Knife,Arrested,Chargesheet Filed,27.724,93.3153,430912,Phishing reported in Ahmedabad.
CR202200048,2023-01-12,18:23,Delhi,New Delhi,New Delhi Police Station,Drug Offence,Drug Possession,Low,63,Male,38,Female,Stick,Arrested,Chargesheet Filed,22.0447,74.8845,331424,Drug Possession reported in New Delhi.
CR202200049,2022-03-03,20:41,Punjab,Amritsar,Amritsar Police Station,Murder,Homicide,Low,30,Female,46,Male,Stick,Not Arrested,Closed,13.4207,80.7298,189558,Homicide reported in Amritsar.
CR202200050,2022-01-21,22:33,Kerala,Thiruvananthapuram,Thiruvananthapuram Police Station,Theft,Vehicle Theft,Low,60,Male,19,Female,,Not Arrested,Chargesheet Filed,13.8446,88.9975,205638,Vehicle Theft reported in Thiruvananthapuram.
CR202200051,2022-09-29,20:31,Karnataka,Mysuru,Mysuru Police Station,Robbery,Armed Robbery,High,48,Female,56,Female,,Arrested,Closed,29.2989,81.7489,194048,Armed Robbery reported in Mysuru.
CR202200052,2022-04-04,18:56,Punjab,Ludhiana,Ludhiana Police Station,Missing Person,Missing Adult,Low,62,Female,58,Female,,Not Arrested,Closed,20.4415,75.3896,410142,Missing Adult reported in Ludhiana.
CR202200053,2023-08-28,06:28,Telangana,Hyderabad,Hyderabad Police Station,Vandalism,Property Damage,Medium,27,Female,37,Female,Firearm,Arrested,Under Investigation,19.5662,83.9373,394942,Property Damage reported in Hyderabad.
CR202200054,2025-01-07,01:50,Telangana,Warangal,Warangal Police Station,Domestic Violence,Domestic Abuse,Low,48,Male,45,Male,Knife,Not Arrested,Under Investigation,34.5852,93.9809,204815,Domestic Abuse reported in Warangal.
CR202200055,2022-09-21,08:19,Delhi,New Delhi,New Delhi Police Station,Drug Offence,Drug Possession,High,28,Female,25,Female,,Arrested,Closed,11.3603,90.0591,84904,Drug Possession reported in New Delhi.
CR202200056,2023-09-19,21:55,Punjab,Ludhiana,Ludhiana Police Station,Cyber Crime,Phishing,Medium,58,Female,18,Female,Stick,Arrested,Chargesheet Filed,19.3872,87.1225,304517,Phishing reported in Ludhiana.
CR202200057,2024-11-24,17:52,Maharashtra,Nagpur,Nagpur Police Station,Fraud,Online Fraud,High,44,Female,54,Female,Knife,Arrested,Under Investigation,29.4883,89.7157,383898,Online Fraud reported in Nagpur.
CR202200058,2024-07-26,21:50,West Bengal,Siliguri,Siliguri Police Station,Sexual Harassment,Harassment,Low,67,Male,57,Female,Firearm,Not Arrested,Chargesheet Filed,25.3056,92.7712,447738,Harassment reported in Siliguri.
CR202200059,2024-03-28,12:55,Odisha,Cuttack,Cuttack Police Station,Kidnapping,Abduction,Medium,20,Female,65,Female,Stick,Arrested,Chargesheet Filed,9.7738,75.5617,308259,Abduction reported in Cuttack.
CR202200060,2024-02-20,20:59,Haryana,Faridabad,Faridabad Police Station,Burglary,House Break-in,Medium,23,Male,37,Female,Stick,Arrested,Chargesheet Filed,18.8466,90.4625,270852,House Break-in reported in Faridabad.
CR202200061,2024-05-26,11:52,Delhi,New Delhi,New Delhi Police Station,Theft,Vehicle Theft,High,33,Female,38,Male,Firearm,Not Arrested,Closed,26.2482,78.7998,114342,Vehicle Theft reported in New Delhi.
CR202200062,2024-12-12,10:39,Bihar,Patna,Patna Police Station,Burglary,House Break-in,Low,20,Male,33,Male,Stick,Not Arrested,Chargesheet Filed,26.0127,94.6506,168987,House Break-in reported in Patna.
CR202200063,2023-12-25,20:42,Rajasthan,Jaipur,Jaipur Police Station,Robbery,Armed Robbery,Low,28,Female,51,Female,,Not Arrested,Under Investigation,15.9339,75.6193,76815,Armed Robbery reported in Jaipur.
CR202200064,2024-03-06,06:27,Tamil Nadu,Chennai,Chennai Police Station,Murder,Homicide,High,43,Female,43,Male,Firearm,Not Arrested,Under Investigation,22.0322,80.175,124934,Homicide reported in Chennai.
CR202200065,2025-04-19,12:04,Telangana,Hyderabad,Hyderabad Police Station,Missing Person,Missing Adult,High,41,Male,38,Female,Knife,Not Arrested,Closed,19.9563,83.705,365944,Missing Adult reported in Hyderabad.
